,Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote,Population,Mandate-4-2020,Mandate-5-2020,Mandate-6-2020,Mandate-7-2020
18,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,55-64 years,0.0,294.0,15.0,0.0,0.0,20.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0,0,0,0,1
19,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,65-74 years,0.0,446.0,28.0,0.0,0.0,30.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0,0,0,0,1
20,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,75-84 years,0.0,591.0,37.0,0.0,0.0,39.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0,0,0,0,1
21,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,85 years and over,0.0,766.0,37.0,0.0,0.0,37.0,,4917368.0,0,0,0,1
22,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,Under 1 year,0.0,25.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
23,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
24,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
25,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,15-24 years,0.0,38.0,0.0,0.0,0.0,0.0,,4918576.0,0,0,0,1
26,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,25-34 years,0.0,72.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
27,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,35-44 years,0.0,89.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
28,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,45-54 years,0.0,180.0,0.0,0.0,0.0,11.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
29,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,55-64 years,0.0,447.0,30.0,0.0,0.0,39.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
30,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,65-74 years,0.0,563.0,35.0,0.0,0.0,40.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
31,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,75-84 years,0.0,555.0,37.0,0.0,0.0,39.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
32,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,85 years and over,0.0,414.0,21.0,0.0,0.0,22.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
33,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,Under 1 year,0.0,15.0,0.0,0.0,0.0,0.0,,4918576.0,0,0,0,1
34,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
35,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,,4918576.0,0,0,0,1
36,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,15-24 years,0.0,11.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
37,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,25-34 years,0.0,21.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
38,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,35-44 years,0.0,63.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
39,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,45-54 years,0.0,115.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
40,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,55-64 years,0.0,296.0,29.0,0.0,0.0,32.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
41,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,65-74 years,0.0,405.0,25.0,0.0,0.0,32.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
42,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,75-84 years,0.0,604.0,39.0,0.0,0.0,40.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
43,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,85 years and over,0.0,700.0,40.0,0.0,0.0,41.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0,0,0,0,1
44,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,Under 1 year,0.0,12.0,0.0,0.0,0.0,0.0,,4919605.0,0,0,0,1
45,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
46,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
47,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,15-24 years,0.0,34.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
48,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,25-34 years,0.0,69.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
49,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,35-44 years,0.0,111.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
50,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,45-54 years,0.0,198.0,10.0,0.0,0.0,17.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
51,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,55-64 years,0.0,404.0,22.0,0.0,0.0,28.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
52,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,65-74 years,0.0,596.0,44.0,0.0,0.0,55.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
53,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,75-84 years,0.0,618.0,53.0,0.0,0.0,58.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
54,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,85 years and over,0.0,432.0,27.0,0.0,0.0,37.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
55,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,Under 1 year,0.0,12.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
56,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
57,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
58,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,15-24 years,0.0,17.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
59,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,25-34 years,0.0,44.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
60,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,35-44 years,0.0,52.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
61,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,45-54 years,0.0,116.0,10.0,0.0,0.0,15.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
62,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,55-64 years,0.0,300.0,27.0,0.0,0.0,33.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
63,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,65-74 years,0.0,455.0,18.0,0.0,0.0,26.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
64,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,75-84 years,0.0,547.0,34.0,0.0,0.0,40.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
65,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,85 years and over,0.0,718.0,31.0,0.0,0.0,33.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0,0,0,0,1
66,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,Under 1 year,0.0,20.0,0.0,0.0,0.0,0.0,,4920433.0,0,0,0,1
67,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
68,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
69,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,15-24 years,0.0,40.0,0.0,0.0,0.0,0.0,,4920433.0,0,0,0,1
70,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,25-34 years,0.0,72.0,0.0,0.0,0.0,0.0,,4920433.0,0,0,0,1
71,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,35-44 years,0.0,123.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
72,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,45-54 years,12.0,194.0,0.0,0.0,0.0,16.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
73,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,55-64 years,29.0,436.0,28.0,0.0,0.0,54.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
74,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,65-74 years,58.0,594.0,53.0,19.0,0.0,95.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
75,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,75-84 years,50.0,610.0,70.0,17.0,0.0,104.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
76,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,85 years and over,44.0,456.0,48.0,11.0,0.0,81.0,,4920433.0,0,0,0,1
77,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,Under 1 year,0.0,11.0,0.0,0.0,0.0,0.0,,4920433.0,0,0,0,1
78,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
79,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
80,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,15-24 years,0.0,20.0,0.0,0.0,0.0,0.0,,4920433.0,0,0,0,1
81,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,25-34 years,0.0,29.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
82,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,35-44 years,0.0,50.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
83,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,45-54 years,0.0,127.0,0.0,0.0,0.0,13.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
84,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,55-64 years,24.0,279.0,21.0,0.0,0.0,41.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
85,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,65-74 years,29.0,468.0,28.0,10.0,0.0,49.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
86,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,75-84 years,42.0,614.0,43.0,14.0,0.0,71.0,,4920433.0,0,0,0,1
87,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,85 years and over,35.0,715.0,35.0,0.0,0.0,61.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0,0,0,0,1
88,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,Under 1 year,0.0,24.0,0.0,0.0,0.0,0.0,,4921038.0,0,0,0,1
89,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
90,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
91,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,15-24 years,0.0,50.0,0.0,0.0,0.0,0.0,,4921038.0,0,0,0,1
92,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,25-34 years,0.0,96.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
93,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,35-44 years,0.0,116.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
94,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,45-54 years,18.0,194.0,13.0,0.0,0.0,27.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
95,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,55-64 years,30.0,476.0,34.0,0.0,0.0,56.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
96,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,65-74 years,54.0,606.0,52.0,15.0,0.0,91.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
97,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,75-84 years,52.0,639.0,52.0,16.0,0.0,89.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
98,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,85 years and over,49.0,431.0,44.0,17.0,0.0,77.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
99,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,Under 1 year,0.0,19.0,0.0,0.0,0.0,0.0,,4921038.0,0,0,0,1
100,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
101,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
102,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,15-24 years,0.0,15.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
103,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,25-34 years,0.0,46.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
104,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,35-44 years,0.0,77.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
105,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,45-54 years,0.0,141.0,0.0,0.0,0.0,15.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
106,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,55-64 years,20.0,299.0,33.0,0.0,0.0,47.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
107,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,65-74 years,45.0,476.0,47.0,15.0,0.0,77.0,,4921038.0,0,0,0,1
108,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,75-84 years,55.0,603.0,49.0,22.0,0.0,82.0,,4921038.0,0,0,0,1
109,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,85 years and over,80.0,778.0,54.0,24.0,0.0,110.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0,0,0,0,1
110,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,Under 1 year,0.0,26.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0,0,0,0,1
111,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0,0,0,0,1
112,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0,0,0,0,1
