,Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote,Population
83,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,75-84 years,0.0,555.0,37.0,0.0,0.0,39.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
84,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,85 years and over,0.0,414.0,21.0,0.0,0.0,22.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
86,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,Under 1 year,0.0,15.0,0.0,0.0,0.0,0.0,,4918576.0
88,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
89,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,,4918576.0
90,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,15-24 years,0.0,11.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
92,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,25-34 years,0.0,21.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
94,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,35-44 years,0.0,63.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
96,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,45-54 years,0.0,115.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
98,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,55-64 years,0.0,296.0,29.0,0.0,0.0,32.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
99,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,65-74 years,0.0,405.0,25.0,0.0,0.0,32.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
100,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,75-84 years,0.0,604.0,39.0,0.0,0.0,40.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
101,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Female,85 years and over,0.0,700.0,40.0,0.0,0.0,41.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
120,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,Under 1 year,0.0,12.0,0.0,0.0,0.0,0.0,,4919605.0
122,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
123,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
124,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,15-24 years,0.0,34.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
126,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,25-34 years,0.0,69.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
128,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,35-44 years,0.0,111.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
130,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,45-54 years,0.0,198.0,10.0,0.0,0.0,17.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
132,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,55-64 years,0.0,404.0,22.0,0.0,0.0,28.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
133,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,65-74 years,0.0,596.0,44.0,0.0,0.0,55.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
134,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,75-84 years,0.0,618.0,53.0,0.0,0.0,58.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
135,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Male,85 years and over,0.0,432.0,27.0,0.0,0.0,37.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
137,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,Under 1 year,0.0,12.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
139,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
140,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
141,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,15-24 years,0.0,17.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
143,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,25-34 years,0.0,44.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
145,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,35-44 years,0.0,52.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
147,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,45-54 years,0.0,116.0,10.0,0.0,0.0,15.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
149,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,55-64 years,0.0,300.0,27.0,0.0,0.0,33.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
150,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,65-74 years,0.0,455.0,18.0,0.0,0.0,26.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
151,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,75-84 years,0.0,547.0,34.0,0.0,0.0,40.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
152,3/10/2021,3/1/2020,3/31/2020,By Month,2020.0,3.0,Alabama,Female,85 years and over,0.0,718.0,31.0,0.0,0.0,33.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4919605.0
171,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,Under 1 year,0.0,20.0,0.0,0.0,0.0,0.0,,4920433.0
173,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
174,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
175,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,15-24 years,0.0,40.0,0.0,0.0,0.0,0.0,,4920433.0
177,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,25-34 years,0.0,72.0,0.0,0.0,0.0,0.0,,4920433.0
179,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,35-44 years,0.0,123.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
181,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,45-54 years,12.0,194.0,0.0,0.0,0.0,16.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
183,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,55-64 years,29.0,436.0,28.0,0.0,0.0,54.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
184,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,65-74 years,58.0,594.0,53.0,19.0,0.0,95.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
185,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,75-84 years,50.0,610.0,70.0,17.0,0.0,104.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
186,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Male,85 years and over,44.0,456.0,48.0,11.0,0.0,81.0,,4920433.0
188,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,Under 1 year,0.0,11.0,0.0,0.0,0.0,0.0,,4920433.0
190,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
191,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
192,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,15-24 years,0.0,20.0,0.0,0.0,0.0,0.0,,4920433.0
194,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,25-34 years,0.0,29.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
196,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,35-44 years,0.0,50.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
198,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,45-54 years,0.0,127.0,0.0,0.0,0.0,13.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
200,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,55-64 years,24.0,279.0,21.0,0.0,0.0,41.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
201,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,65-74 years,29.0,468.0,28.0,10.0,0.0,49.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
202,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,75-84 years,42.0,614.0,43.0,14.0,0.0,71.0,,4920433.0
203,3/10/2021,4/1/2020,4/30/2020,By Month,2020.0,4.0,Alabama,Female,85 years and over,35.0,715.0,35.0,0.0,0.0,61.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4920433.0
222,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,Under 1 year,0.0,24.0,0.0,0.0,0.0,0.0,,4921038.0
224,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
225,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
226,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,15-24 years,0.0,50.0,0.0,0.0,0.0,0.0,,4921038.0
228,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,25-34 years,0.0,96.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
230,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,35-44 years,0.0,116.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
232,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,45-54 years,18.0,194.0,13.0,0.0,0.0,27.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
234,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,55-64 years,30.0,476.0,34.0,0.0,0.0,56.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
235,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,65-74 years,54.0,606.0,52.0,15.0,0.0,91.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
236,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,75-84 years,52.0,639.0,52.0,16.0,0.0,89.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
237,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Male,85 years and over,49.0,431.0,44.0,17.0,0.0,77.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
239,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,Under 1 year,0.0,19.0,0.0,0.0,0.0,0.0,,4921038.0
241,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
242,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
243,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,15-24 years,0.0,15.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
245,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,25-34 years,0.0,46.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
247,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,35-44 years,0.0,77.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
249,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,45-54 years,0.0,141.0,0.0,0.0,0.0,15.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
251,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,55-64 years,20.0,299.0,33.0,0.0,0.0,47.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
252,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,65-74 years,45.0,476.0,47.0,15.0,0.0,77.0,,4921038.0
253,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,75-84 years,55.0,603.0,49.0,22.0,0.0,82.0,,4921038.0
254,3/10/2021,5/1/2020,5/31/2020,By Month,2020.0,5.0,Alabama,Female,85 years and over,80.0,778.0,54.0,24.0,0.0,110.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921038.0
273,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,Under 1 year,0.0,26.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0
275,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0
276,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0
277,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,15-24 years,0.0,47.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0
279,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,25-34 years,0.0,84.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0
281,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,35-44 years,0.0,128.0,0.0,0.0,0.0,11.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0
283,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,45-54 years,14.0,213.0,10.0,0.0,0.0,19.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0
285,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,55-64 years,30.0,440.0,23.0,10.0,0.0,43.0,,4921408.0
286,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,65-74 years,53.0,583.0,46.0,16.0,0.0,83.0,,4921408.0
287,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,75-84 years,58.0,590.0,46.0,13.0,0.0,91.0,,4921408.0
288,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Male,85 years and over,23.0,394.0,31.0,10.0,0.0,44.0,,4921408.0
290,3/10/2021,6/1/2020,6/30/2020,By Month,2020.0,6.0,Alabama,Female,Under 1 year,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4921408.0
