,Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
41,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,25-34 years,1187.0,24231.0,1265.0,563.0,121.0,2004.0,
42,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,30-39 years,1848.0,32098.0,1856.0,839.0,160.0,3018.0,
43,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,35-44 years,2931.0,40680.0,2905.0,1377.0,169.0,4619.0,
44,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,40-49 years,4922.0,54714.0,4732.0,2431.0,220.0,7423.0,
45,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,45-54 years,7906.0,81036.0,7763.0,4027.0,321.0,11929.0,
46,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,50-64 years,26704.0,242602.0,26615.0,14201.0,891.0,39911.0,
47,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,55-64 years,21872.0,193684.0,21763.0,11725.0,699.0,32531.0,
48,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,65-74 years,42728.0,325928.0,39455.0,22245.0,850.0,60684.0,
49,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,75-84 years,61673.0,453995.0,52538.0,29523.0,966.0,85539.0,
50,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,85 years and over,91181.0,711184.0,66054.0,34171.0,1091.0,124032.0,
51,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,All Ages,9648.0,74586.0,6727.0,3274.0,152.0,13237.0,
52,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,Under 1 year,0.0,431.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
53,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,0-17 years,0.0,743.0,11.0,0.0,0.0,16.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
54,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,1-4 years,0.0,92.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
55,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,5-14 years,0.0,111.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
56,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,15-24 years,10.0,815.0,15.0,0.0,0.0,26.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
57,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,18-29 years,31.0,1344.0,29.0,0.0,0.0,55.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
58,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,25-34 years,63.0,1518.0,59.0,23.0,0.0,103.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
59,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,30-39 years,106.0,1943.0,99.0,35.0,0.0,175.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
60,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,35-44 years,181.0,2450.0,138.0,57.0,0.0,268.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
61,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,40-49 years,292.0,3235.0,205.0,90.0,0.0,413.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
62,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,45-54 years,522.0,4701.0,344.0,170.0,14.0,710.0,
63,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,50-64 years,1673.0,13836.0,1195.0,542.0,50.0,2374.0,
64,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,55-64 years,1327.0,10983.0,973.0,424.0,39.0,1913.0,
65,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,65-74 years,2474.0,16502.0,1730.0,868.0,43.0,3376.0,
66,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,75-84 years,2817.0,19059.0,1987.0,1028.0,26.0,3797.0,
67,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,All Sexes,85 years and over,2252.0,17924.0,1471.0,702.0,15.0,3031.0,
68,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,All Ages,5159.0,38875.0,3664.0,1788.0,88.0,7115.0,
69,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,Under 1 year,0.0,251.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
70,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,0-17 years,0.0,464.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
71,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,1-4 years,0.0,52.0,0.0,0.0,0.0,0.0,
72,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,5-14 years,0.0,73.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
73,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,15-24 years,0.0,611.0,0.0,0.0,0.0,13.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
74,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,18-29 years,23.0,993.0,15.0,0.0,0.0,35.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
75,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,25-34 years,40.0,1052.0,36.0,13.0,0.0,65.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
76,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,30-39 years,63.0,1265.0,61.0,22.0,0.0,104.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
77,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,35-44 years,104.0,1549.0,85.0,36.0,0.0,156.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
78,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,40-49 years,167.0,2006.0,126.0,53.0,0.0,243.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
79,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,45-54 years,288.0,2814.0,200.0,93.0,0.0,402.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
80,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,50-64 years,947.0,8273.0,661.0,300.0,31.0,1338.0,
81,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,55-64 years,763.0,6599.0,537.0,238.0,26.0,1087.0,
82,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,65-74 years,1461.0,9535.0,1038.0,520.0,26.0,2003.0,
83,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,75-84 years,1551.0,9636.0,1081.0,560.0,13.0,2082.0,
84,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Male,85 years and over,945.0,6703.0,678.0,327.0,0.0,1302.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
85,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,All Ages,4489.0,35711.0,3063.0,1486.0,64.0,6122.0,
86,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,Under 1 year,0.0,180.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
87,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,0-17 years,0.0,279.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
88,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,1-4 years,0.0,40.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
89,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,5-14 years,0.0,38.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
90,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,15-24 years,0.0,204.0,0.0,0.0,0.0,13.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
91,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,18-29 years,0.0,351.0,14.0,0.0,0.0,20.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
92,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,25-34 years,23.0,466.0,23.0,10.0,0.0,38.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
93,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,30-39 years,43.0,678.0,38.0,13.0,0.0,71.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
94,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,35-44 years,77.0,901.0,53.0,21.0,0.0,112.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
95,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,40-49 years,125.0,1229.0,79.0,37.0,0.0,170.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
96,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,45-54 years,234.0,1887.0,144.0,77.0,0.0,308.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
97,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,50-64 years,726.0,5563.0,534.0,242.0,19.0,1036.0,
98,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,55-64 years,564.0,4384.0,436.0,186.0,13.0,826.0,
99,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,65-74 years,1013.0,6967.0,692.0,348.0,17.0,1373.0,
100,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,75-84 years,1266.0,9423.0,906.0,468.0,13.0,1715.0,
101,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alabama,Female,85 years and over,1307.0,11221.0,793.0,375.0,0.0,1729.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
102,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,All Ages,287.0,5511.0,344.0,156.0,0.0,484.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
103,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,Under 1 year,0.0,47.0,0.0,0.0,0.0,0.0,
104,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,0-17 years,0.0,107.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
105,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
106,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,5-14 years,0.0,31.0,0.0,0.0,0.0,0.0,
107,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,15-24 years,0.0,137.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
108,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,18-29 years,0.0,212.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
109,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,25-34 years,0.0,235.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
110,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,30-39 years,0.0,291.0,12.0,0.0,0.0,16.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
111,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,35-44 years,10.0,295.0,19.0,0.0,0.0,23.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
112,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,40-49 years,12.0,327.0,20.0,0.0,0.0,24.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
113,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,45-54 years,12.0,422.0,18.0,0.0,0.0,26.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
114,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,50-64 years,42.0,1150.0,61.0,20.0,0.0,84.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
115,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,55-64 years,36.0,914.0,53.0,19.0,0.0,71.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
116,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,65-74 years,70.0,1200.0,79.0,41.0,0.0,110.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
117,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,75-84 years,83.0,1196.0,87.0,48.0,0.0,124.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
118,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,All Sexes,85 years and over,72.0,1028.0,78.0,36.0,0.0,116.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
119,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,All Ages,167.0,3175.0,195.0,84.0,0.0,283.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
120,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,Under 1 year,0.0,32.0,0.0,0.0,0.0,0.0,
121,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,0-17 years,0.0,73.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
122,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
123,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,5-14 years,0.0,23.0,0.0,0.0,0.0,0.0,
124,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,15-24 years,0.0,96.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
125,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,18-29 years,0.0,145.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
126,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,25-34 years,0.0,146.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
127,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,30-39 years,0.0,182.0,0.0,0.0,0.0,12.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
128,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,35-44 years,0.0,183.0,13.0,0.0,0.0,16.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
129,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,40-49 years,0.0,186.0,13.0,0.0,0.0,15.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
130,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,45-54 years,0.0,259.0,0.0,0.0,0.0,15.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
131,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,50-64 years,23.0,734.0,33.0,10.0,0.0,47.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
132,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,55-64 years,19.0,577.0,30.0,10.0,0.0,40.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
133,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,65-74 years,48.0,715.0,46.0,25.0,0.0,69.0,
134,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,75-84 years,51.0,702.0,55.0,27.0,0.0,80.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
135,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Male,85 years and over,35.0,438.0,38.0,17.0,0.0,58.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
136,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,All Ages,120.0,2336.0,149.0,72.0,0.0,201.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
137,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,Under 1 year,0.0,15.0,0.0,0.0,0.0,0.0,
138,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,0-17 years,0.0,34.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
139,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
140,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
141,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,15-24 years,0.0,41.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
142,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,18-29 years,0.0,67.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
143,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,25-34 years,0.0,89.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
144,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,30-39 years,0.0,109.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
145,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,35-44 years,0.0,112.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
146,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,40-49 years,0.0,141.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
147,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,45-54 years,0.0,163.0,0.0,0.0,0.0,11.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
148,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,50-64 years,19.0,416.0,28.0,10.0,0.0,37.0,
149,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,55-64 years,17.0,337.0,23.0,0.0,0.0,31.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
150,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,65-74 years,22.0,485.0,33.0,16.0,0.0,41.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
151,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,75-84 years,32.0,494.0,32.0,21.0,0.0,44.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
152,3/10/2021,1/1/2020,3/6/2021,By Total,,,Alaska,Female,85 years and over,37.0,590.0,40.0,19.0,0.0,58.0,
